Status_checking,Duration,Credit_history,Purpose,Credit_amount,Savings,Employment,Installment_rate,Personal_status,Other_debtors,Residence_since,Property,Age,Other_installment_plans,Housing,Number_existing_credits,Job,Number_people_liable,Telephone,Foreign_worker
No checking account,15,Critical account / other credits existing,Furniture / equipment,3343,< 100 DM,1 <= employment < 4 years,4,Male: single,,2,Unknown / no property,28,,For free,1,Skilled,1,"Yes, registered",Yes
< 0 DM,36,Existing credits paid back duly till now,Car (new),3249,< 100 DM,4 <= employment < 7 years,2,Male: single,,4,Unknown / no property,39,Bank,For free,1,Highly skilled,2,"Yes, registered",Yes
0 <= balance < 200 DM,9,Existing credits paid back duly till now,Radio / television,1082,< 100 DM,>= 7 years,4,Male: single,,4,Car or other (not savings),27,,Own,2,Unskilled non-resident,1,,Yes
< 0 DM,24,Existing credits paid back duly till now,Business,6568,< 100 DM,1 <= employment < 4 years,2,Male: married/widowed,,2,Car or other (not savings),21,Stores,Own,1,Unskilled non-resident,1,,Yes
< 0 DM,48,Existing credits paid back duly till now,Car (used),10297,< 100 DM,4 <= employment < 7 years,4,Male: single,,4,Unknown / no property,39,Stores,For free,3,Skilled,2,"Yes, registered",Yes
< 0 DM,15,Existing credits paid back duly till now,Car (new),3959,< 100 DM,1 <= employment < 4 years,3,Female: divorced/separated/married,,2,Building society savings / life insurance,29,,Own,1,Skilled,1,"Yes, registered",Yes
0 <= balance < 200 DM,18,Critical account / other credits existing,Business,3590,< 100 DM,Unemployed,3,Male: married/widowed,,3,Car or other (not savings),40,,Own,3,Unemployed / unskilled resident,2,"Yes, registered",Yes
< 0 DM,12,All credits at this bank paid back duly,Radio / television,626,< 100 DM,1 <= employment < 4 years,4,Female: divorced/separated/married,,4,Real estate,24,Bank,Own,1,Unskilled non-resident,1,,Yes
0 <= balance < 200 DM,60,Delay in paying off in the past,Radio / television,7418,Unknown / no savings,1 <= employment < 4 years,1,Male: single,,1,Real estate,27,,Own,1,Unskilled non-resident,1,,Yes
No checking account,15,Existing credits paid back duly till now,Car (used),3029,< 100 DM,4 <= employment < 7 years,2,Male: single,,2,Car or other (not savings),33,,Own,1,Skilled,1,,Yes
0 <= balance < 200 DM,9,Existing credits paid back duly till now,Car (new),1549,Unknown / no savings,< 1 year,4,Male: single,,2,Real estate,35,,Own,1,Unemployed / unskilled resident,1,,Yes
0 <= balance < 200 DM,24,Critical account / other credits existing,Business,2825,Unknown / no savings,4 <= employment < 7 years,4,Male: single,,3,Unknown / no property,34,,Own,2,Skilled,2,"Yes, registered",Yes
0 <= balance < 200 DM,30,Existing credits paid back duly till now,Furniture / equipment,3832,< 100 DM,< 1 year,2,Male: married/widowed,,1,Building society savings / life insurance,22,,Own,1,Skilled,1,,Yes
0 <= balance < 200 DM,24,Existing credits paid back duly till now,Car (used),12579,< 100 DM,>= 7 years,4,Female: divorced/separated/married,,2,Unknown / no property,44,,For free,1,Highly skilled,1,"Yes, registered",Yes
>= 200 DM / salary assigned >= 1 year,18,Existing credits paid back duly till now,Radio / television,2100,< 100 DM,1 <= employment < 4 years,4,Male: single,Co-applicant,2,Real estate,37,Stores,Own,1,Skilled,1,,Yes
0 <= balance < 200 DM,18,Existing credits paid back duly till now,Business,2622,100 <= savings < 500 DM,1 <= employment < 4 years,4,Male: single,,4,Car or other (not savings),34,,Own,1,Skilled,1,,Yes
0 <= balance < 200 DM,24,Existing credits paid back duly till now,Radio / television,1967,< 100 DM,>= 7 years,4,Female: divorced/separated/married,,4,Car or other (not savings),20,,Own,1,Skilled,1,"Yes, registered",Yes
0 <= balance < 200 DM,60,Existing credits paid back duly till now,Car (new),7408,100 <= savings < 500 DM,< 1 year,4,Female: divorced/separated/married,,2,Building society savings / life insurance,24,,Own,1,Highly skilled,1,,Yes
0 <= balance < 200 DM,36,Existing credits paid back duly till now,Repairs,2384,< 100 DM,< 1 year,4,Male: single,,1,Unknown / no property,33,,Rent,1,Unskilled non-resident,1,,Yes
< 0 DM,6,Critical account / other credits existing,Radio / television,1957,< 100 DM,4 <= employment < 7 years,1,Female: divorced/separated/married,,4,Car or other (not savings),31,,Own,1,Skilled,1,,Yes
No checking account,28,Critical account / other credits existing,Radio / television,2743,< 100 DM,>= 7 years,4,Male: single,,2,Car or other (not savings),29,,Own,2,Skilled,1,,Yes
>= 200 DM / salary assigned >= 1 year,10,Critical account / other credits existing,Car (new),781,< 100 DM,>= 7 years,4,Male: single,,4,Unknown / no property,63,,For free,2,Skilled,1,"Yes, registered",Yes
< 0 DM,14,Existing credits paid back duly till now,Car (new),8978,< 100 DM,>= 7 years,1,Male: divorced/separated,,4,Building society savings / life insurance,45,,Own,1,Highly skilled,1,"Yes, registered",No
< 0 DM,24,Existing credits paid back duly till now,Car (used),2812,Unknown / no savings,>= 7 years,2,Female: divorced/separated/married,,4,Real estate,26,,Rent,1,Skilled,1,,Yes
< 0 DM,30,No credits taken / all credits paid back duly,Furniture / equipment,4583,< 100 DM,1 <= employment < 4 years,2,Male: divorced/separated,Guarantor,2,Real estate,32,,Own,2,Skilled,1,,Yes
No checking account,12,Critical account / other credits existing,Radio / television,522,500 <= savings < 1000 DM,>= 7 years,4,Male: single,,4,Building society savings / life insurance,42,,Own,2,Skilled,2,"Yes, registered",Yes
< 0 DM,48,Existing credits paid back duly till now,Domestic appliances,3051,< 100 DM,1 <= employment < 4 years,3,Male: single,,4,Car or other (not savings),54,,Own,1,Skilled,1,,Yes
>= 200 DM / salary assigned >= 1 year,18,Existing credits paid back duly till now,Car (new),1961,< 100 DM,>= 7 years,3,Female: divorced/separated/married,,2,Car or other (not savings),23,,Own,1,Highly skilled,1,,Yes
No checking account,10,Critical account / other credits existing,Furniture / equipment,2146,< 100 DM,< 1 year,1,Female: divorced/separated/married,,3,Real estate,23,,Rent,2,Skilled,1,,Yes
0 <= balance < 200 DM,30,Existing credits paid back duly till now,Furniture / equipment,3441,100 <= savings < 500 DM,1 <= employment < 4 years,2,Female: divorced/separated/married,Co-applicant,4,Car or other (not savings),21,,Rent,1,Skilled,1,,Yes
< 0 DM,12,Existing credits paid back duly till now,Education,795,< 100 DM,< 1 year,4,Female: divorced/separated/married,,4,Building society savings / life insurance,53,,Own,1,Skilled,1,,Yes
No checking account,18,Existing credits paid back duly till now,Radio / television,4594,< 100 DM,< 1 year,3,Male: single,,2,Car or other (not savings),32,,Own,1,Skilled,1,"Yes, registered",Yes
No checking account,24,Existing credits paid back duly till now,Car (used),2679,< 100 DM,< 1 year,4,Female: divorced/separated/married,,1,Unknown / no property,29,,Own,1,Highly skilled,1,"Yes, registered",Yes
< 0 DM,12,Existing credits paid back duly till now,Radio / television,709,< 100 DM,>= 7 years,4,Male: single,,4,Real estate,57,Stores,Own,1,Unskilled non-resident,1,,Yes
No checking account,15,Critical account / other credits existing,Radio / television,1360,< 100 DM,1 <= employment < 4 years,4,Male: single,,2,Building society savings / life insurance,31,,Own,2,Skilled,1,,Yes
No checking account,30,Critical account / other credits existing,Car (used),7596,Unknown / no savings,>= 7 years,1,Male: single,,4,Car or other (not savings),63,,Own,2,Skilled,1,,Yes
0 <= balance < 200 DM,24,Existing credits paid back duly till now,Furniture / equipment,3069,100 <= savings < 500 DM,>= 7 years,4,Male: single,,4,Unknown / no property,30,,For free,1,Skilled,1,,Yes
No checking account,42,Critical account / other credits existing,Furniture / equipment,4042,500 <= savings < 1000 DM,1 <= employment < 4 years,4,Male: single,,4,Real estate,36,,Own,2,Skilled,1,"Yes, registered",Yes
0 <= balance < 200 DM,12,Existing credits paid back duly till now,Car (new),685,< 100 DM,4 <= employment < 7 years,2,Male: married/widowed,,3,Car or other (not savings),25,Bank,Own,1,Unskilled non-resident,1,,Yes
< 0 DM,10,Existing credits paid back duly till now,Radio / television,2315,< 100 DM,>= 7 years,3,Male: single,,4,Real estate,52,,Own,1,Unskilled non-resident,1,,Yes
0 <= balance < 200 DM,18,Delay in paying off in the past,Car (new),2899,Unknown / no savings,>= 7 years,4,Male: single,,4,Car or other (not savings),43,,Own,1,Skilled,2,,Yes
0 <= balance < 200 DM,12,No credits taken / all credits paid back duly,Furniture / equipment,2969,< 100 DM,< 1 year,4,Female: divorced/separated/married,,3,Building society savings / life insurance,25,,Rent,2,Skilled,1,,Yes
0 <= balance < 200 DM,7,Existing credits paid back duly till now,Radio / television,2415,< 100 DM,1 <= employment < 4 years,3,Male: single,Guarantor,2,Real estate,34,,Own,1,Skilled,1,,Yes
< 0 DM,12,Existing credits paid back duly till now,Radio / television,2214,< 100 DM,1 <= employment < 4 years,4,Male: single,,3,Building society savings / life insurance,24,,Own,1,Unskilled non-resident,1,,Yes
< 0 DM,27,Existing credits paid back duly till now,Radio / television,3416,< 100 DM,1 <= employment < 4 years,3,Male: single,,2,Car or other (not savings),27,,Own,1,Highly skilled,1,,Yes
0 <= balance < 200 DM,21,Delay in paying off in the past,Car (new),2353,< 100 DM,1 <= employment < 4 years,1,Male: divorced/separated,,4,Building society savings / life insurance,47,,Own,2,Skilled,1,,Yes
0 <= balance < 200 DM,36,Critical account / other credits existing,Car (new),2820,< 100 DM,< 1 year,4,Male: divorced/separated,,4,Car or other (not savings),27,,Own,2,Skilled,1,,Yes
< 0 DM,24,Existing credits paid back duly till now,Furniture / equipment,3345,< 100 DM,>= 7 years,4,Male: single,,2,Building society savings / life insurance,39,,Rent,1,Highly skilled,1,"Yes, registered",Yes
< 0 DM,24,Critical account / other credits existing,Car (new),1199,< 100 DM,>= 7 years,4,Male: single,,4,Car or other (not savings),60,,Own,2,Unskilled non-resident,1,,Yes
No checking account,24,Existing credits paid back duly till now,Radio / television,1413,< 100 DM,1 <= employment < 4 years,4,Male: married/widowed,,2,Building society savings / life insurance,28,,Own,1,Skilled,1,,Yes
0 <= balance < 200 DM,24,Existing credits paid back duly till now,Car (new),3512,100 <= savings < 500 DM,4 <= employment < 7 years,2,Male: single,,3,Car or other (not savings),38,Bank,Own,2,Skilled,1,"Yes, registered",Yes
>= 200 DM / salary assigned >= 1 year,10,Existing credits paid back duly till now,Domestic appliances,1225,< 100 DM,1 <= employment < 4 years,2,Male: single,,2,Car or other (not savings),37,,Own,1,Skilled,1,"Yes, registered",Yes
No checking account,36,Existing credits paid back duly till now,Radio / television,2299,500 <= savings < 1000 DM,>= 7 years,4,Male: single,,4,Car or other (not savings),39,,Own,1,Skilled,1,,Yes
>= 200 DM / salary assigned >= 1 year,24,Existing credits paid back duly till now,Furniture / equipment,3749,< 100 DM,< 1 year,2,Female: divorced/separated/married,,4,Car or other (not savings),26,,Own,1,Skilled,1,,Yes
0 <= balance < 200 DM,39,Critical account / other credits existing,Radio / television,4933,< 100 DM,4 <= employment < 7 years,2,Male: single,Guarantor,2,Real estate,25,,Own,2,Skilled,1,,Yes
No checking account,9,Critical account / other credits existing,Education,1244,Unknown / no savings,>= 7 years,4,Female: divorced/separated/married,,4,Building society savings / life insurance,41,,Rent,2,Unskilled non-resident,1,,Yes
No checking account,36,Critical account / other credits existing,Car (used),10477,Unknown / no savings,>= 7 years,2,Male: single,,4,Unknown / no property,42,,For free,2,Skilled,1,,Yes
0 <= balance < 200 DM,18,Delay in paying off in the past,Repairs,6204,< 100 DM,1 <= employment < 4 years,2,Male: single,,4,Real estate,44,,Own,1,Unskilled non-resident,2,"Yes, registered",Yes
No checking account,48,Existing credits paid back duly till now,Radio / television,10222,Unknown / no savings,4 <= employment < 7 years,4,Male: single,,3,Car or other (not savings),37,Stores,Own,1,Skilled,1,"Yes, registered",Yes
< 0 DM,6,Critical account / other credits existing,Car (new),609,< 100 DM,4 <= employment < 7 years,4,Female: divorced/separated/married,,3,Building society savings / life insurance,37,,Own,2,Skilled,1,,No
0 <= balance < 200 DM,14,Existing credits paid back duly till now,Business,1410,500 <= savings < 1000 DM,>= 7 years,1,Male: married/widowed,,2,Real estate,35,,Own,1,Skilled,1,"Yes, registered",Yes
0 <= balance < 200 DM,15,All credits at this bank paid back duly,Car (new),6850,100 <= savings < 500 DM,Unemployed,1,Male: single,,2,Building society savings / life insurance,34,,Own,1,Highly skilled,2,"Yes, registered",Yes
No checking account,12,Critical account / other credits existing,Car (new),682,100 <= savings < 500 DM,4 <= employment < 7 years,4,Female: divorced/separated/married,,3,Car or other (not savings),51,,Own,2,Skilled,1,"Yes, registered",Yes
0 <= balance < 200 DM,12,Existing credits paid back duly till now,Radio / television,1155,< 100 DM,>= 7 years,3,Male: married/widowed,Guarantor,3,Real estate,40,Bank,Own,2,Unskilled non-resident,1,,Yes
< 0 DM,12,Existing credits paid back duly till now,Radio / television,701,< 100 DM,1 <= employment < 4 years,4,Male: married/widowed,,2,Real estate,40,,Own,1,Unskilled non-resident,1,,Yes
0 <= balance < 200 DM,12,Critical account / other credits existing,Car (new),3124,< 100 DM,< 1 year,1,Male: single,,3,Real estate,49,Bank,Own,2,Unskilled non-resident,2,,Yes
No checking account,21,Critical account / other credits existing,Car (used),3275,< 100 DM,>= 7 years,1,Male: single,,4,Car or other (not savings),36,,Own,1,Highly skilled,1,"Yes, registered",Yes
No checking account,6,Existing credits paid back duly till now,Repairs,660,500 <= savings < 1000 DM,4 <= employment < 7 years,2,Male: married/widowed,,4,Real estate,23,,Rent,1,Unskilled non-resident,1,,Yes
< 0 DM,24,Delay in paying off in the past,Radio / television,1659,< 100 DM,< 1 year,4,Female: divorced/separated/married,,2,Car or other (not savings),29,,Rent,1,Unskilled non-resident,1,"Yes, registered",Yes
No checking account,6,Existing credits paid back duly till now,Radio / television,1595,< 100 DM,4 <= employment < 7 years,3,Male: single,,2,Building society savings / life insurance,51,,Own,1,Skilled,2,,Yes
0 <= balance < 200 DM,15,Existing credits paid back duly till now,Radio / television,1444,Unknown / no savings,< 1 year,4,Male: single,,1,Building society savings / life insurance,23,,Own,1,Skilled,1,,Yes
< 0 DM,48,No credits taken / all credits paid back duly,Furniture / equipment,7119,< 100 DM,1 <= employment < 4 years,3,Male: single,,4,Unknown / no property,53,,For free,2,Skilled,2,,Yes
No checking account,24,Existing credits paid back duly till now,Car (used),6313,Unknown / no savings,>= 7 years,3,Male: single,,4,Car or other (not savings),41,,Own,1,Highly skilled,2,"Yes, registered",Yes
No checking account,15,Existing credits paid back duly till now,Radio / television,1979,Unknown / no savings,>= 7 years,4,Male: single,,2,Car or other (not savings),35,,Own,1,Skilled,1,,Yes
No checking account,60,Delay in paying off in the past,Radio / television,15653,< 100 DM,4 <= employment < 7 years,2,Male: single,,4,Car or other (not savings),21,,Own,2,Skilled,1,"Yes, registered",Yes
0 <= balance < 200 DM,24,Delay in paying off in the past,Car (new),1965,Unknown / no savings,1 <= employment < 4 years,4,Female: divorced/separated/married,,4,Car or other (not savings),42,,Rent,2,Skilled,1,"Yes, registered",Yes
>= 200 DM / salary assigned >= 1 year,30,Delay in paying off in the past,Business,1908,< 100 DM,>= 7 years,4,Male: single,,4,Real estate,66,,Own,1,Highly skilled,1,"Yes, registered",Yes
0 <= balance < 200 DM,24,Delay in paying off in the past,Business,4712,Unknown / no savings,1 <= employment < 4 years,4,Male: single,,2,Building society savings / life insurance,37,Bank,Own,2,Highly skilled,1,"Yes, registered",Yes
0 <= balance < 200 DM,24,Existing credits paid back duly till now,Radio / television,5084,Unknown / no savings,>= 7 years,2,Female: divorced/separated/married,,4,Car or other (not savings),42,,Own,1,Skilled,1,"Yes, registered",Yes
No checking account,12,Critical account / other credits existing,Radio / television,618,< 100 DM,>= 7 years,4,Male: single,,4,Real estate,56,,Own,1,Skilled,1,,Yes
No checking account,12,Critical account / other credits existing,Education,2096,< 100 DM,4 <= employment < 7 years,2,Male: single,,3,Real estate,49,,Own,1,Unskilled non-resident,2,,Yes
< 0 DM,13,Critical account / other credits existing,Business,1797,< 100 DM,< 1 year,3,Male: single,,1,Building society savings / life insurance,28,Bank,Own,2,Unskilled non-resident,1,,Yes
0 <= balance < 200 DM,18,Existing credits paid back duly till now,Radio / television,866,< 100 DM,1 <= employment < 4 years,4,Male: married/widowed,Guarantor,2,Real estate,25,,Own,1,Unskilled non-resident,1,,Yes
< 0 DM,30,Existing credits paid back duly till now,Car (used),3857,< 100 DM,1 <= employment < 4 years,4,Male: divorced/separated,,4,Building society savings / life insurance,40,,Own,1,Highly skilled,1,"Yes, registered",Yes
No checking account,12,Critical account / other credits existing,Furniture / equipment,1592,>= 1000 DM,4 <= employment < 7 years,3,Female: divorced/separated/married,,2,Building society savings / life insurance,35,,Own,1,Skilled,1,,No
No checking account,24,Critical account / other credits existing,Car (used),6842,Unknown / no savings,1 <= employment < 4 years,2,Male: single,,4,Building society savings / life insurance,46,,Own,2,Highly skilled,2,"Yes, registered",Yes
0 <= balance < 200 DM,30,Critical account / other credits existing,Car (new),5234,< 100 DM,Unemployed,4,Male: married/widowed,,2,Car or other (not savings),28,,Own,2,Highly skilled,1,,Yes
< 0 DM,6,Critical account / other credits existing,Car (new),860,< 100 DM,>= 7 years,1,Female: divorced/separated/married,,4,Unknown / no property,39,,Own,2,Skilled,1,"Yes, registered",Yes
No checking account,9,Existing credits paid back duly till now,Radio / television,2697,< 100 DM,1 <= employment < 4 years,1,Male: single,,2,Real estate,32,,Own,1,Skilled,2,,Yes
No checking account,24,Existing credits paid back duly till now,Radio / television,1311,100 <= savings < 500 DM,4 <= employment < 7 years,4,Male: married/widowed,,3,Building society savings / life insurance,26,,Own,1,Skilled,1,"Yes, registered",Yes
No checking account,10,Existing credits paid back duly till now,Car (used),2901,Unknown / no savings,< 1 year,1,Female: divorced/separated/married,,4,Real estate,31,,Rent,1,Skilled,1,,Yes
< 0 DM,40,Critical account / other credits existing,Education,5998,< 100 DM,1 <= employment < 4 years,4,Male: single,,3,Unknown / no property,27,Bank,Own,1,Skilled,1,"Yes, registered",Yes
>= 200 DM / salary assigned >= 1 year,6,Existing credits paid back duly till now,Car (new),709,>= 1000 DM,< 1 year,2,Male: married/widowed,,2,Real estate,27,,Own,1,Unemployed / unskilled resident,1,,No
0 <= balance < 200 DM,24,Existing credits paid back duly till now,Furniture / equipment,4351,Unknown / no savings,1 <= employment < 4 years,1,Female: divorced/separated/married,,4,Building society savings / life insurance,48,,Own,1,Unskilled non-resident,1,"Yes, registered",Yes
0 <= balance < 200 DM,15,Critical account / other credits existing,Business,2326,500 <= savings < 1000 DM,1 <= employment < 4 years,2,Male: single,,4,Car or other (not savings),27,Bank,Own,1,Skilled,1,,Yes
No checking account,24,Existing credits paid back duly till now,Car (new),7393,< 100 DM,1 <= employment < 4 years,1,Male: single,,4,Building society savings / life insurance,43,,Own,1,Unskilled non-resident,2,,Yes
No checking account,36,Critical account / other credits existing,Car (new),3535,< 100 DM,4 <= employment < 7 years,4,Male: single,,4,Car or other (not savings),37,,Own,2,Skilled,1,"Yes, registered",Yes
No checking account,10,Critical account / other credits existing,Car (new),1231,< 100 DM,>= 7 years,3,Male: single,,4,Real estate,32,,Own,2,Unskilled non-resident,2,,No
< 0 DM,18,Existing credits paid back duly till now,Radio / television,3190,< 100 DM,1 <= employment < 4 years,2,Female: divorced/separated/married,,2,Real estate,24,,Own,1,Skilled,1,,Yes
< 0 DM,24,Delay in paying off in the past,Car (new),1333,< 100 DM,Unemployed,4,Male: single,,2,Real estate,43,,For free,2,Skilled,2,,Yes
No checking account,21,Existing credits paid back duly till now,Business,1572,>= 1000 DM,>= 7 years,4,Female: divorced/separated/married,,4,Real estate,36,Bank,Own,1,Unskilled non-resident,1,,Yes
0 <= balance < 200 DM,6,All credits at this bank paid back duly,Car (new),931,100 <= savings < 500 DM,< 1 year,1,Female: divorced/separated/married,,1,Building society savings / life insurance,32,Stores,Own,1,Unskilled non-resident,1,,Yes
No checking account,36,Existing credits paid back duly till now,Radio / television,3595,< 100 DM,>= 7 years,4,Male: single,,2,Car or other (not savings),28,,Own,1,Skilled,1,,Yes
0 <= balance < 200 DM,48,Existing credits paid back duly till now,Car (new),8487,Unknown / no savings,4 <= employment < 7 years,1,Female: divorced/separated/married,,2,Car or other (not savings),24,,Own,1,Skilled,1,,Yes
No checking account,15,Critical account / other credits existing,Radio / television,1459,< 100 DM,1 <= employment < 4 years,4,Female: divorced/separated/married,,2,Car or other (not savings),43,,Own,1,Unskilled non-resident,1,,Yes
No checking account,36,Existing credits paid back duly till now,Radio / television,2394,Unknown / no savings,1 <= employment < 4 years,4,Female: divorced/separated/married,,4,Car or other (not savings),25,,Own,1,Skilled,1,,Yes
No checking account,21,Existing credits paid back duly till now,Radio / television,3160,Unknown / no savings,>= 7 years,4,Male: single,,3,Building society savings / life insurance,41,,Own,1,Skilled,1,"Yes, registered",Yes
>= 200 DM / salary assigned >= 1 year,4,Existing credits paid back duly till now,Car (new),1494,Unknown / no savings,< 1 year,1,Male: single,,2,Real estate,29,,Own,1,Unskilled non-resident,2,,No
No checking account,24,Critical account / other credits existing,Education,1597,< 100 DM,>= 7 years,4,Male: single,,4,Unknown / no property,54,,For free,2,Skilled,2,,Yes
No checking account,6,No credits taken / all credits paid back duly,Car (new),1204,100 <= savings < 500 DM,1 <= employment < 4 years,4,Male: single,,1,Unknown / no property,35,Bank,Rent,1,Skilled,1,,No
< 0 DM,30,Existing credits paid back duly till now,Furniture / equipment,2406,< 100 DM,4 <= employment < 7 years,4,Female: divorced/separated/married,,4,Real estate,23,,Rent,1,Skilled,1,,Yes
< 0 DM,36,Critical account / other credits existing,Furniture / equipment,6229,< 100 DM,< 1 year,4,Female: divorced/separated/married,Co-applicant,4,Unknown / no property,23,,Rent,2,Unskilled non-resident,1,"Yes, registered",Yes
No checking account,12,Critical account / other credits existing,Furniture / equipment,1402,500 <= savings < 1000 DM,4 <= employment < 7 years,3,Female: divorced/separated/married,,4,Car or other (not savings),37,,Rent,1,Skilled,1,"Yes, registered",Yes
No checking account,12,Critical account / other credits existing,Business,1412,< 100 DM,1 <= employment < 4 years,4,Female: divorced/separated/married,Guarantor,2,Real estate,29,,Own,2,Highly skilled,1,"Yes, registered",Yes
0 <= balance < 200 DM,12,No credits taken / all credits paid back duly,Retraining,1410,< 100 DM,1 <= employment < 4 years,2,Male: single,,2,Real estate,31,,Own,1,Unskilled non-resident,1,"Yes, registered",Yes
< 0 DM,15,Delay in paying off in the past,Furniture / equipment,3643,< 100 DM,>= 7 years,1,Female: divorced/separated/married,,4,Building society savings / life insurance,27,,Own,2,Unskilled non-resident,1,,Yes
< 0 DM,30,Existing credits paid back duly till now,Radio / television,2522,< 100 DM,>= 7 years,1,Male: single,Guarantor,3,Building society savings / life insurance,39,,Own,1,Skilled,2,,Yes
< 0 DM,47,Existing credits paid back duly till now,Car (new),10722,< 100 DM,< 1 year,1,Female: divorced/separated/married,,1,Real estate,35,,Own,1,Unskilled non-resident,1,"Yes, registered",Yes
< 0 DM,10,Critical account / other credits existing,Car (new),2241,< 100 DM,< 1 year,1,Male: single,,3,Real estate,48,,Rent,2,Unskilled non-resident,2,,No
< 0 DM,6,Existing credits paid back duly till now,Radio / television,2647,500 <= savings < 1000 DM,1 <= employment < 4 years,2,Male: single,,3,Real estate,44,,Rent,1,Skilled,2,,Yes
No checking account,6,Existing credits paid back duly till now,Radio / television,518,< 100 DM,1 <= employment < 4 years,3,Female: divorced/separated/married,,1,Real estate,29,,Own,1,Skilled,1,,Yes
< 0 DM,24,Existing credits paid back duly till now,Furniture / equipment,3149,< 100 DM,< 1 year,4,Male: single,,1,Unknown / no property,22,Bank,For free,1,Skilled,1,,Yes
No checking account,30,Existing credits paid back duly till now,Radio / television,1867,Unknown / no savings,>= 7 years,4,Male: single,,4,Car or other (not savings),58,,Own,1,Skilled,1,"Yes, registered",Yes
< 0 DM,21,Critical account / other credits existing,Car (new),1602,< 100 DM,>= 7 years,4,Male: married/widowed,,3,Car or other (not savings),30,,Own,2,Skilled,1,"Yes, registered",Yes
No checking account,6,Existing credits paid back duly till now,Radio / television,1346,100 <= savings < 500 DM,>= 7 years,2,Male: single,,4,Unknown / no property,42,Bank,For free,1,Skilled,2,"Yes, registered",Yes
< 0 DM,6,Existing credits paid back duly till now,Domestic appliances,343,< 100 DM,< 1 year,4,Female: divorced/separated/married,,1,Real estate,27,,Own,1,Skilled,1,,Yes
0 <= balance < 200 DM,48,No credits taken / all credits paid back duly,Business,3844,100 <= savings < 500 DM,4 <= employment < 7 years,4,Male: single,,4,Unknown / no property,34,,For free,1,Unskilled non-resident,2,,Yes
No checking account,11,Critical account / other credits existing,Car (new),1393,< 100 DM,< 1 year,4,Female: divorced/separated/married,,4,Car or other (not savings),35,,Own,2,Highly skilled,1,,Yes
No checking account,18,Critical account / other credits existing,Radio / television,1800,< 100 DM,1 <= employment < 4 years,4,Male: single,,2,Car or other (not savings),24,,Own,2,Skilled,1,,Yes
0 <= balance < 200 DM,9,Existing credits paid back duly till now,Car (new),276,< 100 DM,1 <= employment < 4 years,4,Male: married/widowed,,4,Real estate,22,,Rent,1,Unskilled non-resident,1,,Yes
No checking account,18,Critical account / other credits existing,Radio / television,1582,>= 1000 DM,>= 7 years,4,Male: single,,4,Car or other (not savings),46,,Own,2,Skilled,1,,Yes
No checking account,36,Delay in paying off in the past,Car (new),10875,< 100 DM,>= 7 years,2,Male: single,,2,Car or other (not savings),45,,Own,2,Skilled,2,"Yes, registered",Yes
No checking account,15,Existing credits paid back duly till now,Car (used),4657,< 100 DM,1 <= employment < 4 years,3,Male: single,,2,Car or other (not savings),30,,Own,1,Skilled,1,"Yes, registered",Yes
No checking account,12,Existing credits paid back duly till now,Radio / television,3059,>= 1000 DM,4 <= employment < 7 years,2,Male: divorced/separated,,4,Real estate,61,,Own,1,Unskilled non-resident,1,,Yes
No checking account,18,Existing credits paid back duly till now,Furniture / equipment,2515,< 100 DM,1 <= employment < 4 years,3,Male: single,,4,Real estate,43,,Own,1,Skilled,1,"Yes, registered",Yes
0 <= balance < 200 DM,48,Existing credits paid back duly till now,Radio / television,3979,Unknown / no savings,4 <= employment < 7 years,4,Male: single,,1,Car or other (not savings),41,,Own,2,Skilled,2,"Yes, registered",Yes
No checking account,15,Existing credits paid back duly till now,Furniture / equipment,2221,500 <= savings < 1000 DM,1 <= employment < 4 years,2,Female: divorced/separated/married,,4,Car or other (not savings),20,,Rent,1,Skilled,1,,Yes
< 0 DM,8,Critical account / other credits existing,Car (new),731,< 100 DM,>= 7 years,4,Male: single,,4,Real estate,47,,Own,2,Unskilled non-resident,1,,Yes
0 <= balance < 200 DM,16,Critical account / other credits existing,Car (new),1175,< 100 DM,Unemployed,2,Male: single,,3,Car or other (not savings),68,,For free,3,Unemployed / unskilled resident,1,"Yes, registered",Yes
>= 200 DM / salary assigned >= 1 year,15,Existing credits paid back duly till now,Education,1905,< 100 DM,>= 7 years,4,Male: single,,4,Car or other (not savings),40,,Rent,1,Highly skilled,1,"Yes, registered",Yes
0 <= balance < 200 DM,9,Existing credits paid back duly till now,Radio / television,2118,< 100 DM,1 <= employment < 4 years,2,Male: single,,2,Real estate,37,,Own,1,Unskilled non-resident,2,,Yes
>= 200 DM / salary assigned >= 1 year,36,Existing credits paid back duly till now,Radio / television,4473,< 100 DM,>= 7 years,4,Male: single,,2,Car or other (not savings),31,,Own,1,Skilled,1,,Yes
< 0 DM,16,Critical account / other credits existing,Car (new),2625,< 100 DM,>= 7 years,2,Male: single,Guarantor,4,Building society savings / life insurance,43,Bank,Rent,1,Skilled,1,"Yes, registered",Yes
No checking account,18,Existing credits paid back duly till now,Radio / television,2051,< 100 DM,< 1 year,4,Male: single,,1,Real estate,33,,Own,1,Skilled,1,,Yes
0 <= balance < 200 DM,9,Critical account / other credits existing,Education,1136,>= 1000 DM,>= 7 years,4,Male: single,,3,Unknown / no property,32,,For free,2,Skilled,2,,Yes
No checking account,18,Existing credits paid back duly till now,Radio / television,1473,< 100 DM,< 1 year,3,Male: married/widowed,,4,Real estate,39,,Own,1,Skilled,1,"Yes, registered",Yes
